Accident_Index;Number_of_Vehicles;Number_of_Casualties;Date;Time;Speed_limit;Road_conditions;Weather_conditions;Day;Road_type;Light_conditions;biker_gender;biker_severity_injury;biker_age_group
19954100B0360;2;1;1995-12-19;22:30;30.0;Wet;Rain and windy;Tuesday;Single carriageway;Darkness lights lit;Male;Serious;36 to 45
19954100C0035;2;2;1995-01-19;08:15;30.0;Frost;Clear;Thursday;Single carriageway;Daylight;Female;Serious;56 to 65
19954100C0048;2;2;1995-01-21;11:38;30.0;Wet;Rain and windy;Saturday;Roundabout;Daylight;Male;Slight;16 to 20
19954100C0057;2;1;1995-01-22;09:20;30.0;Wet;Unknown;Sunday;Single carriageway;Daylight;Male;Slight;16 to 20
19954100C0067;2;2;1995-01-28;20:25;30.0;Wet;Rain;Saturday;Single carriageway;Darkness lights lit;Male;Slight;26 to 35
19954100C0080;2;1;1995-04-02;14:00;30.0;Dry;Clear;Saturday;Single carriageway;Daylight;Male;Serious;21 to 25
19954100C0081;2;1;1995-03-02;07:47;70.0;Wet;Clear;Friday;Roundabout;Daylight;Male;Serious;36 to 45
19954100C0089;2;1;1995-06-02;08:10;30.0;Wet;Clear;Monday;Single carriageway;Daylight;Male;Serious;21 to 25
19954100C0091;2;1;1995-06-02;20:20;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Male;Slight;46 to 55
19954100C0093;3;1;1995-04-02;12:30;40.0;Dry;Clear;Saturday;Roundabout;Daylight;Other;Slight;16 to 20
19954100C0101;2;1;1995-01-16;12:30;30.0;Dry;Clear;Monday;Roundabout;Daylight;Male;Slight;26 to 35
19954100C0124;2;1;1995-02-16;18:00;30.0;Wet;Other;Thursday;Roundabout;Darkness lights lit;Male;Slight;26 to 35
19954100C0136;2;1;1995-02-24;12:30;30.0;Dry;Clear;Friday;Single carriageway;Daylight;Male;Slight;16 to 20
19954100C0161;2;1;1995-08-03;16:45;30.0;Wet;Clear;Wednesday;Unknown;Daylight;Male;Slight;16 to 20
19954100C0184;2;1;1995-03-15;10:40;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Female;Slight;16 to 20
19954100C0216;2;1;1995-03-23;16:50;30.0;Dry;Clear;Thursday;Single carriageway;Daylight;Male;Slight;36 to 45
19954100C0221;2;1;1995-03-28;21:00;30.0;Wet;Clear;Tuesday;Single carriageway;Darkness lights lit;Male;Slight;16 to 20
19954100C0222;2;1;1995-03-04;17:30;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Female;Serious;6 to 10
19954100C0229;2;1;1995-05-04;08:00;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Slight;26 to 35
19954100C0234;2;1;1995-12-04;07:45;30.0;Dry;Clear;Wednesday;Dual carriageway;Daylight;Male;Slight;46 to 55
